DATE	LORSGPORATQ661S	LORSGPORAUQ661S	LORSGPORBEQ661S	LORSGPORBRQ661S	LORSGPORCAQ661S	LORSGPORCHQ661S	LORSGPORCLQ661S	LORSGPORCZQ661S	LORSGPORDEQ661S	LORSGPORDEQ661S_LOG	LORSGPORDKQ661S	LORSGPOREEQ661S	LORSGPORESQ661S	LORSGPORFIQ661S	LORSGPORFRQ661S	LORSGPORGBQ661S	LORSGPORGRQ661S	LORSGPORHUQ661S	LORSGPORIDQ661S	LORSGPORIEQ661S	LORSGPORILQ661S	LORSGPORINQ661S	LORSGPORITQ661S	LORSGPORJPQ661S	LORSGPORKRQ661S	LORSGPORLUQ661S	LORSGPORMXQ661S	LORSGPORNLQ661S	LORSGPORNOQ661S	LORSGPORNZQ661S	LORSGPORPLQ661S	LORSGPORPTQ661S	LORSGPORRUQ661S	LORSGPORSEQ661S	LORSGPORSIQ661S	LORSGPORSKQ661S	LORSGPORTRQ661S	LORSGPORUSQ661S	LORSGPORZAQ661S
1996-01-01	71.0609696640231	54.2009851511504	68.9376795352063	58.9298539457291	61.6723230111664	68.1306077394162	47.4359987182611	63.7035935225186	76.5424631828164	4.33785	75.4096981738362	45.1010749089976	67.4690745088577	66.6707666106866	73.3204152198195	66.8909229800180	91.4107586498712	63.5559144245542	45.6705576236630	36.91352407531570	48.3954616485009		91.7816847877534	86.7243667453227	43.27153031410230	52.3667026716814	60.0237920297828	69.2097888720131	68.3498496187723	57.8313466566225	47.8587006249473	80.8335148677345	51.1193977719779	62.5287431646400	62.0062315201849	47.4375817017554	40.98671841872260	62.2454871776832	57.1249543089278
1996-04-01	71.7164527221687	54.5866346932475	69.4214796700752	59.4524745941971	62.1017429236942	67.8740146148234	47.9979948999287	64.1526811430331	77.5824991322971	4.35134	77.4518028045583	45.8689853518069	67.9672231553745	67.1968209664830	73.4484922426912	67.0318330368989	91.9353476643958	63.1399638939614	47.1395831262682	37.43326938994910	49.0668718761973	28.4364835693342	91.6849804612920	87.8204836332353	44.14568119909740	48.6918122557347	60.8335350320146	69.9814552874749	68.2561574499252	58.5935215137147	48.9089406988571	81.8031063288158	50.8610075946113	62.0652741182286	62.7128805523382	48.0035153035387	41.53533721763660	63.2836696662755	57.8055175535836
1996-07-01	71.8900041365445	55.0201548861618	69.7411333306136	61.7829790451245	62.6382853883728	67.6813572548408	48.5603527668139	64.4234482025037	77.8625128780756	4.35494	77.6708513016428	47.3278654497229	68.5496339052886	67.5866310286917	73.8984179911413	67.7710364738790	93.1857597001012	63.0656143091557	48.0220882685318	37.19387086276390	49.6661071771487	28.5755324917435	91.8208063031310	87.9330874349285	44.92217345456060	52.4691361445023	61.8952998790091	70.9612468261238	70.5307820265228	59.1837639030443	49.3344778114854	82.9130186257222	50.0994386761094	62.3712068022598	63.5308462788528	49.1987592600922	41.87150767459190	63.8513311037660	58.4942611414364
1996-10-01	72.0008162506918	55.5203360788121	70.2911680077562	61.1487090947671	63.1427530676678	68.0856729040545	49.2032425911045	64.5036146234967	78.4325252350074	4.36224	77.6972663998914	48.2895896886372	68.9152646182685	68.8525675899425	73.9924515524739	68.8163746675882	94.1729797190191	63.8505336606995	49.5810118218063	37.60652581855250	50.4579815669349	29.0286187519258	91.5413013195779	88.9118614603406	45.68206760302830	53.1763888517954	63.7217244033665	71.4657395276576	69.3992960728445	59.5382638365755	47.3325367883841	83.1471149881558	50.2074419650353	62.7575028632686	64.6378879363660	50.1648089491613	42.70144253616470	64.5143618248805	59.0430376085793
1997-01-01	72.4523430630638	55.8592334432420	70.9957499502041	61.7483191662752	63.9757161335008	68.6600296921130	49.7417494635560	64.2485868182017	78.0124709104796	4.35687	78.6724496740584	50.0404348139001	69.6149741552910	69.6643565059016	74.2162183050773	70.0504863885863	94.7106143250996	64.4525011112838	48.9606981538931	39.58294418335240	51.0126061003504	29.2470190800808	91.8484982466904	89.1441869472141	45.89588885637350	53.5120588725396	63.8064631641366	72.2454116474012	71.2626638178441	59.2298488944033	50.7450730437641	84.5146731100406	50.8817743439437	63.3347050579994	64.9790393965523	50.6663987181557	43.61334812942610	64.9308412403176	59.3171252964919
1997-04-01	72.6908025767571	57.5056259199442	72.0938994626843	62.1733069299872	64.6984059838844	68.9933979785741	50.9096341691368	64.0400849400849	79.0225020354952	4.36973	80.0236389232170	52.1435503763985	70.2463831327314	70.7221420630603	75.0706171803549	70.6424617905916	96.3342898157581	65.1523318747712	49.6017593732624	41.14963814223050	51.3128103645858	29.3668874978579	93.0674028792976	88.4723925548054	47.52544661091020	54.1599644404766	65.3037979858472	72.9976522011339	72.9817267902222	60.6248061328488	51.4415316759868	85.2825886544294	50.3528294508589	64.0730651406823	66.4572358726706	51.4176976747090	44.83072559007970	66.0099776051818	59.6892873903475
1997-07-01	73.5562245285564	57.5810110102497	72.7293671001509	62.9397682864278	65.4640688156515	69.8529220221226	52.1157671771425	63.6050069853750	79.2925084453254	4.37314	79.7977328594499	53.5479377268114	71.0819513915311	72.3892423776522	75.6589249994940	71.1228195796056	97.8709217901860	65.7266912807900	50.5298532613965	41.86649562506340	51.2934996089092	29.7171851790586	93.6922839093558	88.6495033371351	47.90172666150550	54.7747943028372	66.5769105836432	74.0581326593315	72.9032184025073	61.6564009394248	51.3088358747263	86.3920830041749	51.5493463970461	64.5991348434089	67.0413599707750	52.2645340604860	45.11661997923900	66.8356162613168	59.7486327450394
1997-10-01	74.3147419195680	58.3999570506310	73.1344537210134	63.4274747902042	66.0979719412773	70.3385230135066	53.1817862501576	63.4945727678905	79.8625247676526	4.38031	79.7868353365646	55.2250159320120	72.0622871407493	74.5218440286681	76.4862731242513	71.9742149912218	98.8040562211374	66.2878642429876	50.2701698717107	42.42299742406150	52.2089528209235	30.1929144196027	95.3601314908203	88.6811342449552	47.68329750345650	55.3883682192633	68.1874318767182	75.0082839619251	73.9332437411777	60.7329286125759	52.1688157094062	86.9729179594286	52.0572614143450	65.8639957628151	67.2984099431001	51.9998447238529	46.11456094256500	67.4095628134893	59.7568872152167
1998-01-01	74.9355716400374	58.8001467436773	73.3245180597119	62.2103000777787	67.0315496317920	71.0598083322578	52.9658950134770	63.5028747920710	80.6174897705441	4.38972	80.9898514228415	55.6771698508693	72.6936961181896	73.9787591361734	77.1277623508758	72.4700805446480	99.9905976989908	66.8603137304304	46.5716880433809	43.63531057823230	52.9454272769171	30.6850815667248	94.6719407817694	87.5997177378214	44.43223979632580	55.9822533361895	68.8064422459370	76.0201736791458	74.6465283432052	60.6655736252050	53.6166323915448	88.2319958168960	50.2338558128704	66.1366449023040	67.7215754138160	52.9099594266161	46.94544075762870	68.0832374021942	59.9138708549542
1998-04-01	75.6733285386654	59.3716865232933	73.5683379689514	63.2089102736312	67.0673432328724	71.7654648303852	54.0264335696341	63.6721150141675	80.2675066246307	4.38536	80.3782020537480	55.3624353546413	73.5136740318674	75.4717695200700	77.8463554174188	72.9900692871598	100.4328700030300	67.8567651417444	42.9209380573418	44.71085695652130	53.0030604926762	31.0872820365687	95.2029930013204	87.2176007603312	44.07325748223600	57.9482963259629	69.3377901351580	76.5642427334176	75.4923473448834	60.3447511853592	53.4734541771972	89.5869914536972	49.6902972813664	67.0374562749290	68.1938988524510	52.9257293403118	46.57150015633550	68.7135659758278	59.9986042366895
