"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1977-Q3","Q3-1977","PER","Persons","3","Thousands",,,2136.711,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1977-Q4","Q4-1977","PER","Persons","3","Thousands",,,2132.549,"B","Break"
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1978-Q1","Q1-1978","PER","Persons","3","Thousands",,,2118.001,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1978-Q2","Q2-1978","PER","Persons","3","Thousands",,,2146.92,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1978-Q3","Q3-1978","PER","Persons","3","Thousands",,,2160.65,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1978-Q4","Q4-1978","PER","Persons","3","Thousands",,,2157.559,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1979-Q1","Q1-1979","PER","Persons","3","Thousands",,,2158.963,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1979-Q2","Q2-1979","PER","Persons","3","Thousands",,,2159.03,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1979-Q3","Q3-1979","PER","Persons","3","Thousands",,,2170.394,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1979-Q4","Q4-1979","PER","Persons","3","Thousands",,,2215.616,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1980-Q1","Q1-1980","PER","Persons","3","Thousands",,,2254.176,,
