DATE;LFEMTTTTATQ647S;LFEMTTTTAUQ647S;LFEMTTTTBEQ647S;LFEMTTTTCAQ647S;LFEMTTTTCHQ647S;LFEMTTTTDEQ647S;LFEMTTTTDKQ647S;LFEMTTTTESQ647S;LFEMTTTTFIQ647S;LFEMTTTTFRQ647S;LFEMTTTTGBQ647S;LFEMTTTTGRQ647S;LFEMTTTTIEQ647S;LFEMTTTTISQ647S;LFEMTTTTITQ647S;LFEMTTTTJPQ647S;LFEMTTTTLUQ647S;LFEMTTTTNLQ647S;LFEMTTTTNOQ647S;LFEMTTTTNZQ647S;LFEMTTTTPTQ647S;LFEMTTTTSEQ647S;LFEMTTTTTRQ647S;LFEMTTTTUSQ647S
1971-01-01;2962516,1820000000;5480800,0000000000;;8007666,6666666700;;34074463,070276700;;;;;24613000,000000000;;;;;51280000,0000000;;;;;;;;78717333,3333333
1971-04-01;2973786,2700000000;5524600,0000000000;;8023666,6666666700;;34067148,659467500;;;;;24556000,000000000;;;;;51276666,6666667;;;;;;;;78961000,0000000
1971-07-01;2974209,6830000000;5532000,0000000000;;8146000,0000000000;;34042155,071190800;;;;;24463000,000000000;;;;;51163333,3333333;;;;;;;;79511000,0000000
1971-10-01;2983470,7090000000;5526900,0000000000;;8233666,6666666700;;34012443,936581000;;;;;24395000,000000000;;;;;51176666,6666667;;;;;;;;80228666,6666667
1972-01-01;2983876,1370000000;5536000,0000000000;;8277333,3333333300;;33926831,843806000;;;;;24501000,000000000;;;;;51133333,3333333;;;;;;;;81213333,3333333
1972-04-01;2980134,4800000000;5564400,0000000000;;8300333,3333333300;;33888027,269808600;;;;;24542000,000000000;;;;;51073333,3333333;;;;;;;;81875000,0000000
1972-07-01;2994266,9680000000;5628600,0000000000;;8368000,0000000000;;33896295,230040600;;;;;24585000,000000000;;;;;51620000,0000000;;;;;;;;82450333,3333333
1972-10-01;3014309,6450000000;5674100,0000000000;;8428666,6666666600;;33952008,945216800;;;;;24688000,000000000;;;;;51950000,0000000;;;;;;;;83002000,0000000
1973-01-01;3020441,9180000000;5703800,0000000000;;8611666,6666666600;;34111515,629373000;;;;;24903000,000000000;;;;;52646666,6666667;;;;;;;;83841666,6666667
1973-04-01;2999236,3410000000;5714500,0000000000;;8774333,3333333400;;34221644,166579500;;;;;24986000,000000000;;;;;52270000,0000000;;;;;;;;84797333,3333333
1973-07-01;3016163,9270000000;5804800,0000000000;;8760333,3333333400;;34230188,499977900;;;;;24972000,000000000;;;;;52523333,3333333;;;;;;;;85330333,3333333
1973-10-01;3003969,3980000000;5835800,0000000000;;8890000,0000000000;;34119332,928697600;;;;;24999000,000000000;;;;;52910000,0000000;;;;;;;;86236000,0000000
