date,exusal,exalus,exbzus,excaus,exchus,exdnus,exhkus,exinus,exjpus,exkous,exmaus,exmxus,exusnz,exnzus,exnous,exsius,exsfus,exslus,exsdus,exszus,extaus,exthus,exusuk,exukus,exvzus,exauus,exbeus,exfnus,exfrus,exgeus,exgrus,exusir,exirus,exitus,exneus,expous,exspus,exusec,execus,exuseu,exeuus,twexb,twexm,twexo,indexgx
08FEB2017,0.7648,1.3075,3.1190,1.3156,6.8700,6.9432,7.7588,67.04,111.74,1143.25,4.4370,20.499,0.7322,1.3657,8.3037,1.4149,13.3875,150.500,8.8331,0.9934,31.030,34.990,1.2543,0.7973,9.975,,,,,,,,,,,,,,,1.0708,0.9339,125.607,93.591,159.845,
09FEB2017,0.7623,1.3118,3.1291,1.3139,6.8660,6.9757,7.7575,66.71,113.24,1149.88,4.4370,20.416,0.7182,1.3924,8.3380,1.4195,13.3925,150.500,8.9006,1.0013,31.060,35.060,1.2516,0.7990,9.975,,,,,,,,,,,,,,,1.0658,0.9383,125.777,93.995,159.703,
10FEB2017,0.7686,1.3011,3.1092,1.3073,6.8775,6.9809,7.7588,66.80,113.22,1146.78,4.4420,20.314,0.7207,1.3875,8.3656,1.4194,13.3800,150.350,8.9000,1.0028,30.940,35.060,1.2502,0.7999,9.975,,,,,,,,,,,,,,,1.0650,0.9390,125.623,93.886,159.500,
13FEB2017,0.7644,1.3082,3.1106,1.3072,6.8776,7.0140,7.7592,66.99,113.79,1150.16,4.4470,20.325,0.7175,1.3937,8.3858,1.4235,13.3125,150.450,8.9362,1.0054,30.960,35.090,1.2510,0.7994,9.975,,,,,,,,,,,,,,,1.0603,0.9431,125.821,94.148,159.603,
14FEB2017,0.7638,1.3092,3.1074,1.3092,6.8649,7.0301,7.7595,66.88,114.34,1139.33,4.4480,20.345,0.7154,1.3978,8.4049,1.4204,13.1625,150.430,8.9400,1.0072,30.780,35.050,1.2465,0.8022,9.975,,,,,,,,,,,,,,,1.0577,0.9454,125.826,94.387,159.307,
15FEB2017,0.7698,1.2990,3.0557,1.3082,6.8685,7.0159,7.7604,66.85,114.17,1136.46,4.4470,20.290,0.7202,1.3885,8.3425,1.4202,12.9625,150.580,8.9191,1.0062,30.730,35.010,1.2465,0.8022,9.975,,,,,,,,,,,,,,,1.0597,0.9437,125.648,94.248,159.088,
16FEB2017,0.7694,1.2997,3.0744,1.3056,6.8517,6.9731,7.7598,67.12,113.36,1140.57,4.4510,20.341,0.7227,1.3837,8.2965,1.4186,13.0500,150.600,8.8612,0.9992,30.750,34.980,1.2477,0.8015,9.975,,,,,,,,,,,,,,,1.0660,0.9381,125.425,93.824,159.136,
17FEB2017,0.7657,1.3060,3.1038,1.3114,6.8640,7.0025,7.7610,67.09,112.86,1150.73,4.4510,20.462,0.7182,1.3924,8.3382,1.4197,13.0975,151.130,8.9175,1.0022,30.900,34.980,1.2428,0.8046,9.975,,,,,,,,,,,,,,,1.0614,0.9422,125.844,94.104,159.710,
20FEB2017,,,,,,,,,,,,,,,,,13.0975,,,,,,,,,,,,,,,,,,,,,,,,,126.039,94.147,160.100,
21FEB2017,0.7672,1.3034,3.0932,1.3149,6.8810,7.0447,7.7605,67.00,113.48,1143.63,4.4555,20.423,0.7156,1.3974,8.3553,1.4204,13.1200,151.250,8.9677,1.0083,30.800,35.030,1.2465,0.8022,9.975,,,,,,,,,,,,,,,1.0551,0.9478,126.041,94.484,159.661,
22FEB2017,0.7683,1.3016,3.0778,1.3188,6.8765,7.0414,7.7599,66.95,113.46,1142.15,4.4510,19.916,0.7161,1.3965,8.3638,1.4157,13.0650,152.000,8.9820,1.0109,30.770,35.000,1.2456,0.8028,9.975,,,,,,,,,,,,,,,1.0555,0.9474,125.634,94.561,158.657,
23FEB2017,0.7716,1.2960,3.0645,1.3109,6.8622,7.0212,7.7595,66.68,112.68,1129.84,4.4470,19.735,0.7235,1.3822,8.3317,1.4058,12.8975,152.000,8.9860,1.0062,30.610,34.960,1.2548,0.7969,9.975,,,,,,,,,,,,,,,1.0586,0.9446,125.047,94.107,157.932,
24FEB2017,0.7681,1.3019,3.1123,1.3106,6.8645,7.0263,7.7609,66.68,112.26,1130.41,4.4370,19.869,0.7201,1.3887,8.3375,1.4039,12.9275,151.850,8.9994,1.0055,30.640,34.850,1.2499,0.8001,9.975,,,,,,,,,,,,,,,1.0580,0.9452,125.212,94.110,158.294,
27FEB2017,0.7693,1.2999,3.1085,1.3100,6.8675,6.9960,7.7611,66.69,112.01,1130.14,4.4370,19.829,0.7224,1.3843,8.3400,1.4004,12.9250,151.750,9.0134,1.0051,30.720,34.820,1.2473,0.8017,9.975,,,,,,,,,,,,,,,1.0624,0.9413,125.073,93.924,158.223,
28FEB2017,0.7686,1.3011,3.1085,1.3247,6.8665,7.0005,7.7627,66.67,112.06,1129.17,4.4380,19.998,0.7229,1.3833,8.3667,1.3990,13.1000,151.250,9.0098,1.0022,30.640,34.890,1.2427,0.8047,9.975,,,,,,,,,,,,,,,1.0618,0.9418,125.393,94.257,158.509,
01MAR2017,0.7664,1.3048,3.1028,1.3345,6.8794,7.0363,7.7632,66.83,113.66,1140.75,4.4455,19.879,0.7131,1.4023,8.3996,1.4088,13.0325,151.250,9.0293,1.0072,30.760,34.960,1.2318,0.8118,9.975,,,,,,,,,,,,,,,1.0564,0.9466,125.838,94.947,158.618,
02MAR2017,0.7578,1.3196,3.1264,1.3384,6.8868,7.0695,7.7623,66.75,114.45,1146.90,4.4470,19.927,0.7071,1.4142,8.4667,1.4114,13.1000,151.100,9.0664,1.0120,30.880,35.030,1.2267,0.8152,9.975,,,,,,,,,,,,,,,1.0514,0.9511,126.259,95.393,158.986,
03MAR2017,0.7559,1.3229,3.1385,1.3419,6.8954,7.0442,7.7635,66.76,114.60,1156.77,4.4520,19.578,0.7012,1.4261,8.4754,1.4155,13.0900,151.100,9.0372,1.0118,31.030,35.070,1.2249,0.8164,9.975,,,,,,,,,,,,,,,1.0552,0.9477,126.059,95.355,158.590,
06MAR2017,0.7583,1.3187,3.1218,1.3410,6.8955,7.0217,7.7634,66.64,113.92,1154.36,4.4460,19.536,0.6999,1.4288,8.4835,1.4119,13.0000,151.000,9.0115,1.0114,30.950,35.060,1.2243,0.8168,9.975,,,,,,,,,,,,,,,1.0586,0.9446,125.839,95.120,158.401,
07MAR2017,0.7603,1.3153,3.1222,1.3413,6.9000,7.0242,7.7643,66.62,113.99,1149.87,4.4450,19.505,0.6983,1.4320,8.4489,1.4106,12.9550,151.200,8.9966,1.0130,30.920,35.090,1.2209,0.8191,9.975,,,,,,,,,,,,,,,1.0582,0.9450,125.833,95.169,158.324,
08MAR2017,0.7544,1.3256,3.1527,1.3479,6.9113,7.0478,7.7675,66.76,114.58,1154.69,4.4520,19.605,0.6926,1.4438,8.5094,1.4175,13.0975,151.000,9.0444,1.0146,30.930,35.310,1.2152,0.8229,9.975,,,,,,,,,,,,,,,1.0547,0.9481,126.301,95.571,158.854,
09MAR2017,0.7517,1.3303,3.1684,1.3504,6.9086,7.0229,7.7648,66.64,114.71,1158.12,4.4590,19.789,0.6907,1.4478,8.5684,1.4192,13.2900,151.250,9.0305,1.0131,31.010,35.370,1.2166,0.8220,9.975,,,,,,,,,,,,,,,1.0586,0.9446,126.440,95.486,159.270,
10MAR2017,0.7531,1.3278,3.1552,1.3468,6.9050,6.9682,7.7650,66.60,115.02,1150.37,4.4490,19.654,0.6919,1.4453,8.6034,1.4136,13.2150,151.250,9.0139,1.0104,30.990,35.350,1.2158,0.8225,9.975,,,,,,,,,,,,,,,1.0667,0.9375,126.044,95.150,158.816,
13MAR2017,0.7581,1.3191,3.1524,1.3453,6.9050,6.9672,7.7638,66.15,114.61,1150.37,4.4450,19.559,0.6927,1.4436,8.5456,1.4130,13.1125,151.450,8.9466,1.0068,30.990,35.350,1.2234,0.8174,9.975,,,,,,,,,,,,,,,1.0670,0.9372,125.836,94.965,158.589,
14MAR2017,0.7575,1.3201,3.1590,1.3462,6.9130,6.9827,7.7680,65.76,114.63,1148.54,4.4480,19.626,0.6933,1.4424,8.5977,1.4140,13.1400,151.400,8.9471,1.0078,30.940,35.290,1.2168,0.8218,9.975,,,,,,,,,,,,,,,1.0645,0.9394,126.006,95.123,158.767,
15MAR2017,0.7593,1.3170,3.1576,1.3451,6.9132,6.9926,7.7689,65.62,114.66,1144.16,4.4460,19.449,0.6956,1.4376,8.5983,1.4121,13.0275,151.600,8.9571,1.0080,30.830,35.250,1.2222,0.8182,9.975,,,,,,,,,,,,,,,1.0630,0.9407,125.788,95.121,158.285,
16MAR2017,0.7673,1.3033,3.1194,1.3316,6.9130,6.9236,7.7611,65.40,113.02,1148.54,4.4480,19.173,0.6979,1.4329,8.5170,1.4012,12.7375,151.400,8.8241,0.9953,30.940,35.290,1.2370,0.8084,9.975,,,,,,,,,,,,,,,1.0738,0.9313,124.891,94.068,157.633,
17MAR2017,0.7690,1.3004,3.1060,1.3366,6.9000,6.9207,7.7614,65.38,112.67,1128.67,4.4340,19.132,0.7008,1.4269,8.4633,1.4020,12.7425,151.750,8.8167,0.9978,30.520,34.860,1.2372,0.8083,9.975,,,,,,,,,,,,,,,1.0742,0.9309,124.658,94.111,157.061,
20MAR2017,0.7733,1.2932,3.0812,1.3357,6.9050,6.9136,7.7651,65.30,112.59,1112.29,4.4250,19.021,0.7050,1.4184,8.4648,1.3957,12.6300,151.980,8.8247,0.9966,30.380,34.610,1.2365,0.8087,9.975,,,,,,,,,,,,,,,1.0754,0.9299,124.401,94.028,156.596,
21MAR2017,0.7717,1.2958,3.0840,1.3321,6.8830,6.8788,7.7657,65.31,111.90,1118.23,4.4230,19.092,0.7063,1.4158,8.4609,1.3982,12.6150,151.500,8.7890,0.9936,30.430,34.660,1.2479,0.8013,9.975,,,,,,,,,,,,,,,1.0810,0.9251,124.171,93.591,156.642,
22MAR2017,0.7674,1.3031,3.0863,1.3347,6.8785,6.8864,7.7664,65.45,111.06,1117.91,4.4250,19.065,0.7056,1.4172,8.4659,1.3983,12.5600,151.710,8.7984,0.9900,30.450,34.600,1.2476,0.8015,9.975,,,,,,,,,,,,,,,1.0800,0.9259,124.139,93.569,156.599,
23MAR2017,0.7644,1.3082,3.1348,1.3332,6.8843,6.8935,7.7668,65.41,111.12,1117.91,4.4270,18.992,0.7043,1.4198,8.4811,1.3989,12.4950,151.710,8.8139,0.9924,30.460,34.580,1.2526,0.7983,9.975,,,,,,,,,,,,,,,1.0787,0.9270,124.140,93.585,156.581,
24MAR2017,0.7619,1.3125,3.1144,1.3373,6.8803,6.8820,7.7669,65.40,111.03,1116.69,4.4230,18.852,0.7030,1.4225,8.4926,1.3991,12.4300,151.400,8.8111,0.9910,30.320,34.550,1.2491,0.8006,9.975,,,,,,,,,,,,,,,1.0806,0.9254,123.960,93.610,156.149,
27MAR2017,0.7623,1.3118,3.1197,1.3367,6.8687,6.8369,7.7672,65.05,110.48,1108.30,4.4090,18.821,0.7055,1.4174,8.4662,1.3926,12.7425,151.700,8.7701,0.9830,30.140,34.350,1.2583,0.7947,9.975,,,,,,,,,,,,,,,1.0882,0.9189,123.540,93.164,155.784,
28MAR2017,0.7651,1.3070,3.1298,1.3363,6.8779,6.8569,7.7668,65.02,110.56,1111.51,4.4140,18.865,0.7037,1.4211,8.4915,1.3932,12.9000,151.800,8.7864,0.9850,30.170,34.360,1.2503,0.7998,9.975,,,,,,,,,,,,,,,1.0852,0.9215,123.735,93.322,156.016,
29MAR2017,0.7660,1.3055,3.1175,1.3372,6.8879,6.9176,7.7688,64.87,111.05,1112.28,4.4170,18.830,0.7025,1.4235,8.5214,1.3955,13.0250,152.050,8.8801,0.9966,30.210,34.420,1.2411,0.8057,9.975,,,,,,,,,,,,,,,1.0756,0.9297,124.030,93.858,155.990,
30MAR2017,0.7666,1.3045,3.1203,1.3278,6.8870,6.9334,7.7702,64.85,111.36,1114.11,4.4190,18.665,0.7023,1.4239,8.5484,1.3942,12.8075,151.980,8.9092,0.9969,30.290,34.400,1.2489,0.8007,9.975,,,,,,,,,,,,,,,1.0726,0.9323,123.848,93.776,155.690,
31MAR2017,0.7638,1.3092,3.1628,1.3321,6.8832,6.9523,7.7714,64.85,111.41,1117.48,4.4240,18.829,0.7001,1.4284,8.5756,1.3967,13.4225,152.030,8.9349,0.9998,30.380,34.320,1.2537,0.7976,9.975,,,,,,,,,,,,,,,1.0698,0.9348,124.127,93.960,156.076,
03APR2017,0.7601,1.3156,3.1183,1.3388,6.8832,6.9800,7.7708,65.03,110.96,1117.65,4.4260,18.733,0.6997,1.4292,8.5918,1.3975,13.7050,151.750,8.9639,1.0029,30.330,34.350,1.2479,0.8013,9.975,,,,,,,,,,,,,,,1.0655,0.9385,124.183,94.251,155.833,
04APR2017,0.7567,1.3215,3.1147,1.3413,6.8832,6.9738,7.7707,65.10,110.74,1122.61,4.4300,18.818,0.6977,1.4333,8.5918,1.3985,13.5375,151.700,9.0014,1.0022,30.470,34.450,1.2437,0.8041,9.975,,,,,,,,,,,,,,,1.0664,0.9377,124.321,94.280,156.100,
05APR2017,0.7575,1.3201,3.0932,1.3410,6.8920,6.9749,7.7687,64.87,111.20,1126.58,4.4295,18.724,0.6955,1.4378,8.5984,1.4009,13.7525,151.550,8.9780,1.0050,30.400,34.550,1.2488,0.8008,9.975,,,,,,,,,,,,,,,1.0661,0.9380,124.291,94.319,155.985,
06APR2017,0.7549,1.3247,3.1087,1.3409,6.8955,6.9817,7.7690,64.58,111.02,1131.21,4.4350,18.745,0.6973,1.4341,8.6163,1.4023,13.7700,151.700,9.0076,1.0046,30.510,34.640,1.2486,0.8009,9.975,,,,,,,,,,,,,,,1.0651,0.9389,124.373,94.342,156.139,
07APR2017,0.7516,1.3305,3.1258,1.3396,6.8978,7.0046,7.7691,64.26,110.76,1133.89,4.4335,18.648,0.6957,1.4374,8.6268,1.4021,13.7700,151.600,9.0503,1.0066,30.560,34.570,1.2398,0.8066,9.975,,,,,,,,,,,,,,,1.0616,0.9420,124.410,94.490,156.033,
10APR2017,0.7500,1.3333,3.1443,1.3347,6.8988,7.0116,7.7697,64.55,110.95,1141.24,4.4330,18.691,0.6965,1.4358,8.6175,1.4045,13.9025,151.370,9.0635,1.0077,30.570,34.610,1.2418,0.8053,9.975,,,,,,,,,,,,,,,1.0606,0.9429,124.477,94.454,156.227,
11APR2017,0.7497,1.3339,3.1456,1.3333,6.8893,7.0046,7.7707,64.55,109.74,1147.77,4.4310,18.749,0.6956,1.4376,8.5961,1.4029,13.8275,152.230,9.0450,1.0072,30.630,34.550,1.2484,0.8010,9.975,,,,,,,,,,,,,,,1.0614,0.9422,124.372,94.197,156.319,
12APR2017,0.7485,1.3360,3.1519,1.3302,6.8890,7.0081,7.7708,64.68,109.54,1138.83,4.4250,18.767,0.6925,1.4440,8.5817,1.3999,13.6225,152.130,9.0165,1.0054,30.550,34.450,1.2500,0.8000,9.975,,,,,,,,,,,,,,,1.0611,0.9424,124.264,94.102,156.199,
13APR2017,0.7585,1.3184,3.1309,1.3266,6.8865,6.9975,7.7737,64.42,109.23,1133.32,4.4100,18.535,0.7011,1.4263,8.5506,1.3975,13.4225,151.980,9.0255,1.0047,30.320,34.310,1.2522,0.7986,9.975,,,,,,,,,,,,,,,1.0630,0.9407,123.831,93.876,155.526,
